visit_start_time,visit_end_time,visit_id,visitor_id,logged_in,country
27/11/2020 13:08:51,27/11/2020 13:08:51,-287808189,-1920969094,false,deu
27/11/2020 14:23:18,27/11/2020 14:38:26,1091972720,1329162981,false,deu
27/11/2020 09:30:36,27/11/2020 09:30:36,-696232920,-729605966,false,usa
27/11/2020 00:44:05,27/11/2020 00:44:47,-437932622,1781517418,false,deu
27/11/2020 15:09:42,27/11/2020 15:09:42,1910546020,479496681,false,hrv
27/11/2020 14:55:43,27/11/2020 14:58:47,-1968904615,1403821674,false,esp
27/11/2020 23:26:27,27/11/2020 23:30:07,-2047520803,2007633192,false,deu
27/11/2020 05:01:09,27/11/2020 05:02:18,-1539023433,1655800320,false,deu
27/11/2020 10:20:12,27/11/2020 10:23:27,1426898869,410137314,false,pol
27/11/2020 06:40:07,27/11/2020 06:40:07,360806652,-1587687808,true,deu
27/11/2020 19:54:54,27/11/2020 19:55:40,1648910428,-990368463,false,deu
27/11/2020 15:30:33,27/11/2020 15:31:48,-1974195816,1608899067,false,deu
27/11/2020 23:11:11,27/11/2020 23:16:56,1352435841,-1897193932,false,esp
27/11/2020 23:16:10,27/11/2020 23:16:10,681455001,979768392,false,deu
27/11/2020 10:52:31,27/11/2020 10:58:39,1174240513,-350591045,false,rou
27/11/2020 19:06:31,27/11/2020 19:06:31,635947447,1505484499,false,esp
27/11/2020 07:01:42,27/11/2020 07:03:25,425115825,-459967300,false,esp
27/11/2020 14:21:42,27/11/2020 14:24:19,202711346,171216631,false,deu
27/11/2020 14:00:50,27/11/2020 14:00:50,-1893149099,1684223647,false,che
27/11/2020 18:45:41,27/11/2020 19:41:14,-162425402,-717547879,false,deu
27/11/2020 21:00:10,27/11/2020 21:15:08,1749503056,1950215010,false,deu
27/11/2020 07:55:34,27/11/2020 07:56:14,268746486,915372853,false,deu
27/11/2020 18:24:57,27/11/2020 18:25:47,635385144,-1955185765,true,deu
27/11/2020 17:45:06,27/11/2020 18:30:46,-678568319,309435336,false,esp
27/11/2020 12:50:25,27/11/2020 12:51:43,-679542295,1678553349,false,deu
27/11/2020 17:27:33,27/11/2020 17:27:33,974617994,812724208,false,deu
27/11/2020 09:26:13,27/11/2020 09:27:17,658699701,1591976838,false,deu
27/11/2020 13:10:49,27/11/2020 13:30:28,1920393467,790092548,false,deu
27/11/2020 13:38:45,27/11/2020 13:38:48,1310031428,1767305351,false,deu
27/11/2020 10:15:16,27/11/2020 10:15:16,1984469914,2047513321,false,deu
27/11/2020 06:59:22,27/11/2020 07:00:34,-279678347,-1235030819,false,deu
27/11/2020 16:04:18,27/11/2020 16:04:20,-2030573163,232004983,false,deu
27/11/2020 12:16:07,27/11/2020 12:16:07,321429632,2037029272,false,deu
27/11/2020 20:31:10,27/11/2020 20:34:22,331717447,-220097346,false,deu
27/11/2020 07:36:41,27/11/2020 07:37:57,-631010963,1725676756,false,alb
27/11/2020 10:02:05,27/11/2020 10:03:26,344982362,-430313552,false,deu
27/11/2020 22:09:04,27/11/2020 22:09:04,-661219556,-1591499460,false,esp
27/11/2020 14:28:18,27/11/2020 14:54:21,-1003424642,1445323301,false,esp
27/11/2020 14:57:51,27/11/2020 14:58:36,-1674141840,1762418509,false,deu
27/11/2020 20:05:54,27/11/2020 20:05:54,1196203357,1250202829,false,aut
27/11/2020 19:35:17,27/11/2020 19:35:17,-1218015580,-691723566,false,deu
27/11/2020 12:25:10,27/11/2020 12:35:54,779521865,67741006,false,esp
27/11/2020 08:55:41,27/11/2020 08:55:41,-1804061122,-352675618,false,deu
27/11/2020 09:31:15,27/11/2020 09:40:03,-2065247009,2028049986,true,deu
27/11/2020 10:51:10,27/11/2020 11:10:50,-937263255,1927778282,false,deu
27/11/2020 04:57:09,27/11/2020 04:58:11,614867068,-1911455612,false,gbr
27/11/2020 17:48:07,27/11/2020 18:14:00,-1051265395,-990257054,true,esp
27/11/2020 08:13:59,27/11/2020 08:16:07,1746288725,-2128132692,true,ita
27/11/2020 20:59:13,27/11/2020 21:00:10,-212146557,110016887,false,deu
27/11/2020 09:42:32,27/11/2020 09:42:32,1456459378,-512151750,false,aut
27/11/2020 00:02:35,27/11/2020 00:02:35,668980133,1719563247,false,deu
27/11/2020 15:02:06,27/11/2020 15:02:06,-936910740,1996048903,false,deu
27/11/2020 15:01:44,27/11/2020 15:06:36,317759697,-1969154361,false,deu
27/11/2020 19:07:28,27/11/2020 19:27:47,-1803936846,1264364261,false,deu
27/11/2020 13:42:20,27/11/2020 13:42:50,541227108,-901800674,false,deu
27/11/2020 17:03:54,27/11/2020 17:04:28,981040682,-2113533507,false,deu
27/11/2020 14:23:14,27/11/2020 14:24:07,498911769,814322213,false,deu
27/11/2020 09:50:28,27/11/2020 09:50:29,1921547961,-2134222073,false,deu
27/11/2020 21:40:20,27/11/2020 21:40:20,1304297118,-1973767140,false,deu
27/11/2020 18:04:00,27/11/2020 18:04:22,-1706117504,-1654623213,false,esp
27/11/2020 11:46:23,27/11/2020 11:47:38,-778127771,1982631990,false,deu
27/11/2020 00:11:58,27/11/2020 00:12:27,872277640,-413993624,false,deu
27/11/2020 18:17:36,27/11/2020 18:20:26,-1136683852,1661864440,false,deu
27/11/2020 15:25:54,27/11/2020 15:25:54,266153027,-1596301902,false,hrv
27/11/2020 10:05:29,27/11/2020 10:10:31,-1751896999,1950653714,false,deu
27/11/2020 12:31:20,27/11/2020 12:36:19,1839983985,375798392,false,deu
27/11/2020 21:51:19,27/11/2020 21:51:34,-1525831302,366042747,false,deu
27/11/2020 13:04:26,27/11/2020 13:05:23,783287232,-1100515547,false,deu
27/11/2020 22:10:56,27/11/2020 22:11:38,466836671,-1211454578,false,nld
27/11/2020 12:45:19,27/11/2020 12:45:19,-808149117,1410637100,false,esp
27/11/2020 15:58:40,27/11/2020 15:58:40,594660019,-104501835,false,che
27/11/2020 14:28:01,27/11/2020 14:28:01,1702092165,100565067,false,deu
