BookingDate,DistributionChannelId,CustomerGroupId,Origin,Destination,FlightNumber,FlightDate,BookingId,SegmentId,Revenue
19/11/2020 00:00:00,4,1,DUS,BER,8047,2020-11-24 20:30:00,-1983165678,372148224,"125,1"
29/10/2019 00:00:00,3,9,PMI,LEJ,6800,2020-08-01 16:10:00,-628517276,345802802,"139,99"
19/11/2020 00:00:00,9,1,DUS,PMI,9580,2020-11-26 11:15:00,-1905295465,372113326,"124,99"
08/11/2020 00:00:00,4,1,LHR,HAM,7461,2020-11-26 14:05:00,1578239208,371909567,"102,53"
25/11/2020 00:00:00,9,1,HAM,DUS,9039,2020-11-26 20:50:00,1249765129,372264073,"142,23"
20/11/2020 00:00:00,4,1,DUS,PMI,9580,2020-11-26 11:15:00,1071892695,372160972,"144,99"
06/10/2020 00:00:00,4,1,PMI,CGN,585,2020-10-09 15:30:00,-1159264969,371063918,"59,99"
26/11/2020 00:00:00,10,8,PMI,HAM,7591,2021-07-27 09:35:00,1151093819,372296020,"108,0"
12/02/2020 00:00:00,6,9,PMI,HAM,7587,2020-10-10 09:30:00,-621339361,370644177,"174,99"
13/11/2020 00:00:00,6,9,MUC,DUS,9091,2020-11-26 19:25:00,510586178,371994688,"133,61"
18/11/2020 00:00:00,3,7,STR,BER,8001,2020-11-26 08:15:00,-370755303,372100729,"137,92"
13/11/2020 00:00:00,6,9,STR,BER,8007,2020-11-26 20:35:00,945043335,371999673,"172,41"
07/02/2020 00:00:00,4,1,STR,TXL,2012,2020-03-18 07:10:00,-683159085,357779803,"49,36"
15/10/2020 00:00:00,4,1,BER,STR,2005,2020-11-25 16:25:00,-900203536,371437574,"37,35"
24/11/2020 00:00:00,4,1,CGN,MUC,80,2020-11-25 07:00:00,1934849489,372217931,"177,54"
23/09/2020 00:00:00,4,1,DUS,PMI,9580,2020-11-26 11:15:00,-707619450,371576990,"280,99"
22/11/2020 00:00:00,10,8,DUS,LPA,9542,2020-11-26 10:50:00,-1966469032,372189217,"167,9"
06/11/2020 00:00:00,4,1,DUS,DRS,9022,2020-11-26 18:20:00,238404332,371894972,"58,1"
18/11/2020 00:00:00,5,0,CGN,MUC,86,2020-11-26 18:55:00,98197540,372097545,"214,65"
20/11/2020 00:00:00,6,9,DUS,BER,8047,2020-11-26 20:30:00,2006092869,372163219,"328,96"
23/11/2020 00:00:00,4,1,PMI,DUS,9581,2020-11-26 14:25:00,1293572806,372196722,"278,99"
23/11/2020 00:00:00,5,0,CGN,MUC,80,2020-11-26 07:00:00,-824199259,372198971,"154,3"
03/09/2020 00:00:00,3,7,DUS,HAM,9038,2020-11-26 19:15:00,1047007081,372111014,"40,79"
12/11/2020 00:00:00,6,9,STR,HAM,7049,2020-11-26 20:45:00,-542734154,371986721,"290,16"
23/11/2020 00:00:00,4,1,CGN,MUC,86,2020-11-26 18:55:00,-1514056330,372200663,"245,68"
12/11/2020 00:00:00,8,5,CGN,HAM,30,2020-11-26 16:00:00,1080829899,371980009,"43,57"
02/11/2020 00:00:00,4,1,BER,STR,2011,2020-11-24 08:30:00,-473249021,371818044,"51,72"
26/08/2020 00:00:00,9,1,CGN,HAM,48,2020-11-22 16:00:00,1638632853,371443701,"47,41"
20/08/2020 00:00:00,3,6,MXP,DUS,9821,2020-08-21 20:40:00,-748064231,369403959,"184,99"
30/06/2020 00:00:00,4,1,AMS,STR,2181,2020-08-23 20:15:00,947349714,366673676,"49,99"
24/10/2020 00:00:00,4,1,LPA,DUS,9543,2020-11-26 15:25:00,773511727,371639306,"97,99"
20/10/2020 00:00:00,10,8,HER,DUS,9673,2020-10-24 19:55:00,414558715,371550071,"400,0"
20/11/2020 00:00:00,4,1,LHR,STR,2465,2020-11-26 18:35:00,-364410271,372179983,"133,41"
18/11/2020 00:00:00,3,0,HAM,DUS,9031,2020-11-24 08:35:00,1443991130,372102549,"137,06"
26/10/2019 00:00:00,10,8,DUS,LRM,1142,2019-12-21 11:10:00,1372938898,345465705,"407,07"
25/10/2020 00:00:00,3,7,MUC,CGN,87,2020-11-26 20:40:00,1836021163,371648903,"51,72"
17/11/2020 00:00:00,4,1,DUS,LHR,9462,2020-11-26 18:10:00,-455925975,372186306,"185,99"
06/11/2020 00:00:00,4,1,LHR,HAM,7461,2020-11-12 19:20:00,1599547846,371891886,"114,66"
17/11/2020 00:00:00,6,9,ZRH,DUS,9763,2020-11-26 09:20:00,-560635635,372066124,"229,05"
17/11/2020 00:00:00,6,9,BER,DUS,8042,2020-11-26 14:55:00,-1864824320,372064784,"113,44"
23/11/2020 00:00:00,6,9,BER,DUS,9043,2020-11-26 16:25:00,-375676457,372204282,"328,96"
25/06/2020 00:00:00,4,1,BER,STR,2011,2020-11-24 08:30:00,-1702717559,371723300,"56,03"
13/11/2020 00:00:00,9,1,STR,HAM,7049,2020-11-25 20:25:00,-1887765149,371996747,"211,2"
20/11/2020 00:00:00,4,1,HAM,CGN,31,2020-11-26 17:40:00,-535903188,372159890,"18,37"
14/11/2020 00:00:00,10,8,DUS,LPA,9542,2020-11-26 10:50:00,1915277930,372009350,"94,9"
27/11/2019 00:00:00,7,3,DUS,BLQ,9834,2020-09-02 14:00:00,-947641031,368578470,"102,99"
29/09/2020 00:00:00,10,8,HAM,PMI,7580,2020-10-02 11:30:00,-353078449,370798336,"132,9"
13/11/2020 00:00:00,6,9,MUC,CGN,87,2020-11-26 20:40:00,-1802384275,371994710,"117,75"
23/09/2020 00:00:00,9,1,LHR,HAM,7461,2020-11-26 14:05:00,1068411891,371457930,"60,29"
31/10/2020 00:00:00,4,1,FUE,DUS,9553,2020-11-26 11:50:00,-1722104881,371798155,"159,99"
22/11/2020 00:00:00,4,6,DUS,LHR,9468,2020-11-26 06:50:00,486799574,372193897,"112,99"
01/07/2020 00:00:00,3,6,ALC,DUS,9531,2020-09-13 09:45:00,1486594434,366722455,"119,6"
26/11/2020 00:00:00,8,5,HAM,CGN,31,2020-11-26 17:40:00,-1547479074,372295032,"31,85"
03/08/2020 00:00:00,4,1,LHR,HAM,7465,2020-08-07 08:45:00,681162582,368551259,"53,33"
24/11/2020 00:00:00,6,9,BER,STR,8000,2020-11-26 06:20:00,-1974738069,372255938,"337,58"
25/02/2020 00:00:00,5,0,VIE,DUS,9755,2020-11-12 09:30:00,1441330607,371296685,"204,99"
15/11/2020 00:00:00,9,1,DUS,PMI,9580,2020-11-26 11:15:00,1193202978,372016281,"173,99"
09/09/2020 00:00:00,4,1,DUS,MXP,9826,2020-09-10 06:50:00,1178953822,370141445,"292,99"
