BookingDate,DistributionChannelId,CustomerGroupId,Origin,Destination,FlightNumber,FlightDate,BookingId,SegmentId,Revenue
23/11/2020 00:00:00,2,1,BRE,STR,2035,2020-11-26 20:35:00,-730015620,372207035,"357,75"
18/12/2019 00:00:00,4,1,STR,TXL,2020,2020-03-16 18:15:00,649019906,361243616,"20,02"
11/11/2020 00:00:00,3,8,DUS,BER,8047,2020-11-26 20:30:00,-2108793369,371977611,"32,5"
04/06/2020 00:00:00,4,1,VIE,STR,2759,2020-08-03 08:35:00,1952232831,367365705,"54,54"
20/08/2020 00:00:00,4,1,DUS,TXL,9044,2020-10-09 18:50:00,1876162888,369397509,"34,47"
06/01/2020 00:00:00,6,9,BER,CGN,8054,2020-11-20 18:00:00,-259562557,371053869,"337,58"
18/11/2020 00:00:00,3,0,DUS,HAM,9038,2020-11-26 19:15:00,-87682492,372102188,"180,16"
14/08/2020 00:00:00,3,6,PMI,STR,2583,2020-11-26 12:45:00,-130903276,371423090,"76,99"
21/07/2020 00:00:00,4,1,DUS,NAP,9860,2020-10-04 07:30:00,1983496304,369217560,"67,36"
06/10/2020 00:00:00,9,1,BER,CGN,7,2020-11-24 19:50:00,-1958712969,371041280,"47,41"
04/02/2020 00:00:00,4,1,STR,TXL,2010,2020-03-17 07:55:00,-1042282289,357350898,"34,91"
20/11/2020 00:00:00,4,1,DUS,LHR,9468,2020-11-24 06:50:00,-956747182,372178489,"150,99"
26/10/2019 00:00:00,10,8,DUS,LRM,1142,2019-12-21 11:10:00,1372938898,345465704,"407,07"
23/11/2020 00:00:00,6,9,MUC,DUS,9091,2020-11-26 19:25:00,1698820807,372199471,"306,03"
18/11/2020 00:00:00,4,1,VIE,DUS,9755,2020-11-26 09:30:00,-805664063,372097185,"84,99"
21/10/2020 00:00:00,4,1,DUS,LPA,9542,2020-11-12 10:50:00,-730310813,371583519,"64,99"
24/11/2020 00:00:00,3,9,HAM,STR,7048,2020-11-26 18:50:00,-1550446351,372251714,"323,27"
28/10/2020 00:00:00,9,1,BER,CGN,7,2020-11-26 17:10:00,811434969,371702400,"72,41"
23/11/2020 00:00:00,3,0,BER,CGN,7,2020-11-26 17:10:00,410745376,372203674,"122,88"
29/09/2020 00:00:00,10,8,HAM,PMI,7580,2020-10-02 11:30:00,84518694,370772783,"162,9"
27/11/2019 00:00:00,7,3,DUS,BLQ,9834,2020-09-02 14:00:00,-947641031,368578472,"102,99"
06/11/2020 00:00:00,6,9,DUS,LHR,9468,2020-11-26 06:50:00,130444019,371888737,"74,99"
23/01/2020 00:00:00,4,1,MXP,DUS,9825,2020-03-05 16:10:00,-1451196430,360131130,"63,99"
11/08/2020 00:00:00,4,1,DUS,MXP,9820,2020-08-23 18:25:00,1270971664,368948734,"132,99"
12/11/2020 00:00:00,6,9,BER,STR,8004,2020-11-26 14:45:00,-1623851029,372294976,"199,65"
24/11/2020 00:00:00,3,6,LHR,DUS,9469,2020-11-26 08:05:00,1565843203,372219806,"156,21"
16/11/2020 00:00:00,4,1,DUS,LHR,9462,2020-11-26 18:10:00,-390192690,372270368,"284,99"
10/09/2020 00:00:00,4,1,STR,TXL,2016,2020-09-20 18:50:00,2114924502,370180452,"57,71"
19/11/2020 00:00:00,3,9,LHR,DUS,9469,2020-11-26 08:05:00,1659112840,372267869,"212,99"
19/11/2020 00:00:00,4,1,DUS,FUE,9552,2020-11-21 07:55:00,1335465883,372116330,"119,99"
26/11/2020 00:00:00,4,1,LPA,DUS,9543,2020-11-26 15:25:00,2048033028,372303612,"72,24"
30/07/2020 00:00:00,7,1,HAM,IBZ,7514,2020-08-02 06:05:00,-1502134811,368319624,"33,0"
08/08/2020 00:00:00,4,1,PMI,DUS,9581,2020-11-26 14:25:00,116113619,368867474,"54,99"
24/09/2020 00:00:00,4,1,STR,HAJ,2050,2020-10-02 19:05:00,-143563123,370655491,"72,41"
11/11/2020 00:00:00,4,1,DUS,PMI,9580,2020-11-26 11:15:00,1636191577,371971397,"54,99"
07/02/2020 00:00:00,4,1,TXL,STR,2003,2020-03-20 08:05:00,-683159085,362132878,"123,52"
13/11/2020 00:00:00,4,1,PMI,DUS,9581,2020-11-26 14:25:00,1870040147,371996725,"84,99"
07/10/2020 00:00:00,7,1,PMI,TXL,8591,2020-10-12 18:40:00,760766232,371110009,"24,0"
04/11/2020 00:00:00,4,1,PMI,DUS,9581,2020-11-26 14:25:00,-593571285,372001990,"208,99"
03/01/2020 00:00:00,4,1,CGN,HAM,34,2020-08-07 16:00:00,211513102,362434800,"38,78"
24/11/2020 00:00:00,6,9,DTM,MUC,4062,2020-11-26 18:30:00,-500789755,372220843,"333,27"
10/09/2020 00:00:00,4,1,LIS,CGN,603,2020-10-02 08:20:00,-195299076,370188587,"91,99"
23/11/2020 00:00:00,9,1,BER,DUS,8042,2020-11-26 14:55:00,-123261371,372210441,"137,92"
20/11/2020 00:00:00,4,1,HAM,STR,7048,2020-11-23 18:00:00,-1301114734,372160835,"151,68"
24/05/2020 00:00:00,9,1,DUS,PMI,9580,2020-06-28 16:20:00,-1467834090,365999267,"104,99"
04/08/2020 00:00:00,4,1,NUE,DUS,9069,2020-08-09 16:45:00,-108112893,368612536,"24,99"
06/07/2020 00:00:00,2,8,STR,BER,2004,2020-11-06 14:25:00,1667171776,367080515,"5,51"
04/09/2020 00:00:00,3,6,HAM,SKG,7658,2020-10-03 13:30:00,1446292567,369969279,"259,99"
22/07/2020 00:00:00,5,9,SZG,DUS,4338,2020-09-02 18:40:00,318508025,368802871,"67,99"
18/11/2020 00:00:00,6,9,HAM,STR,2091,2020-11-26 16:45:00,-1942988785,372109255,"221,2"
24/10/2020 00:00:00,9,1,DUS,VIE,9754,2020-11-23 07:15:00,1106776128,372116743,"54,99"
15/10/2020 00:00:00,3,7,BER,STR,2005,2020-11-26 20:30:00,871871798,371722972,"56,03"
27/10/2020 00:00:00,2,1,STR,PMI,2592,2020-11-15 07:55:00,570036567,371682537,"44,99"
24/09/2020 00:00:00,9,1,LPA,DUS,9543,2020-11-26 15:25:00,-1911732916,372078477,"110,99"
16/11/2020 00:00:00,3,0,CGN,BER,8051,2020-11-26 08:30:00,-138030938,372020918,"158,61"
02/11/2020 00:00:00,2,1,DUS,PMI,9584,2020-11-07 13:00:00,2096220896,371820995,"91,99"
03/06/2020 00:00:00,4,1,DUS,IBZ,9540,2020-08-01 15:25:00,-2042828957,367070635,"173,99"
04/11/2020 00:00:00,4,1,MUC,DUS,9091,2020-11-26 19:25:00,-527154339,371849174,"90,51"
05/11/2020 00:00:00,6,9,LHR,DUS,9463,2020-11-08 19:30:00,1909663383,371880379,"63,43"
06/08/2020 00:00:00,7,1,MXP,HAM,7827,2020-09-09 20:25:00,-838765357,368764633,"45,0"
10/11/2020 00:00:00,7,1,DUS,LPA,9542,2020-11-26 10:50:00,312067826,371955182,"79,16"
17/11/2020 00:00:00,6,9,DUS,HAM,9038,2020-11-26 19:15:00,1766342277,372086593,"133,61"
05/11/2020 00:00:00,3,6,BER,STR,8000,2020-11-26 06:20:00,303678341,371876036,"56,03"
20/11/2020 00:00:00,6,9,MUC,DUS,9091,2020-11-26 19:25:00,-977899562,372158066,"376,37"
27/10/2020 00:00:00,4,1,DTM,MUC,4062,2020-11-26 18:30:00,-581624132,371697026,"64,65"
20/11/2020 00:00:00,6,9,BER,STR,2011,2020-11-24 08:30:00,-248904141,372160021,"155,16"
15/11/2020 00:00:00,4,1,STR,PMI,2582,2020-11-26 10:00:00,581206322,372015400,"150,99"
25/11/2020 00:00:00,5,9,STR,BER,8001,2020-11-26 08:15:00,1548990255,372265369,"210,34"
26/07/2020 00:00:00,3,6,STR,PMI,2596,2020-09-12 14:25:00,-1788976367,368989634,"109,99"
30/10/2020 00:00:00,4,1,DUS,LPA,9542,2020-11-12 10:50:00,-1257363236,371789114,"166,99"
25/11/2020 00:00:00,6,9,ZRH,DUS,9763,2020-11-26 09:20:00,1081199104,372286104,"331,89"
26/11/2019 00:00:00,5,9,DUS,MUC,9090,2020-11-26 17:30:00,1560798548,364243242,"86,19"
12/10/2020 00:00:00,4,1,ZRH,DUS,9763,2020-11-26 09:20:00,-979476957,371896072,"94,99"
19/11/2020 00:00:00,3,6,VIE,DUS,9755,2020-11-26 09:30:00,-1420037144,372115657,"83,99"
06/02/2020 00:00:00,7,3,HAM,CGN,49,2020-08-09 18:40:00,1427004573,366800170,"43,09"
06/11/2020 00:00:00,4,1,HAM,DUS,9031,2020-11-26 08:35:00,655892456,371889246,"61,58"
23/11/2020 00:00:00,3,0,BER,DUS,9049,2020-11-25 08:10:00,-1271375560,372202077,"193,1"
26/11/2020 00:00:00,4,1,LIS,STR,2605,2020-12-20 08:55:00,-1303962048,372292769,"74,99"
