BookingDate,DistributionChannelId,CustomerGroupId,Origin,Destination,FlightNumber,FlightDate,BookingId,SegmentId,Revenue
18/08/2020 00:00:00,4,1,HAM,CGN,31,2020-11-26 17:40:00,-1351897068,371849248,"51,72"
21/11/2020 00:00:00,3,6,STR,BER,8005,2020-11-26 16:45:00,-1164576489,372184999,"17,5"
09/11/2020 00:00:00,4,1,CGN,BER,24,2020-11-23 07:10:00,940089764,371911301,"150,85"
30/01/2020 00:00:00,9,1,DUS,LIS,9602,2020-09-26 13:30:00,-1466306474,362180494,"199,99"
12/08/2020 00:00:00,3,8,DUS,IBZ,9540,2020-08-31 08:00:00,-285918250,369077258,"52,73"
16/11/2020 00:00:00,6,9,BER,STR,8000,2020-11-25 06:20:00,-956673533,372024550,"103,44"
15/11/2020 00:00:00,4,1,PMI,DUS,9581,2020-11-26 14:25:00,-409200661,372015374,"250,99"
26/12/2019 00:00:00,9,1,STR,TXL,2012,2020-03-14 06:40:00,2102689118,352030903,"11,48"
26/11/2020 00:00:00,9,1,BER,STR,2005,2020-11-26 20:30:00,-1621216123,372319572,"197,41"
24/02/2020 00:00:00,6,9,STR,TXL,2058,2020-03-18 16:40:00,-538652903,359759248,"81,42"
25/11/2020 00:00:00,9,1,DUS,PMI,9580,2020-11-26 11:15:00,-79838272,372259448,"330,99"
26/11/2020 00:00:00,4,1,LHR,STR,2465,2021-01-10 18:35:00,-1091763581,372291421,"72,24"
24/11/2020 00:00:00,8,5,CGN,MUC,86,2020-11-26 18:55:00,1350676442,372256899,"32,9"
20/11/2020 00:00:00,6,9,CGN,BER,8055,2020-11-23 19:25:00,835042585,372165073,"337,58"
23/09/2020 00:00:00,3,0,HAM,CGN,7032,2020-11-24 18:35:00,-7969967,370905550,"59,47"
30/10/2020 00:00:00,4,1,BER,CGN,8070,2020-11-14 10:15:00,-260169952,371788102,"64,81"
20/11/2020 00:00:00,4,1,DUS,MXP,9820,2020-11-26 18:10:00,-1587431911,372268965,"320,99"
17/11/2020 00:00:00,6,9,MUC,CGN,87,2020-11-26 20:40:00,-1518013091,372069008,"133,61"
20/11/2020 00:00:00,4,1,DUS,VIE,9754,2020-11-26 07:15:00,-294019491,372165514,"164,99"
